Zona,Year,Quarter,WPD_q_mean,WPD_q_sd,FNRR_q,coh_q
2,2027,2027Q3,11.2235485708193,2.00582413887579,0.151618990778439,0.848381009221562
2,2027,2027Q4,4.54228429660115,1.26118434316895,0.217315612688296,0.782684387311704
2,2028,2028Q1,4.24483281981267,0.39715443233503,0.0855569847054792,0.914443015294521
2,2028,2028Q2,5.27353446631287,0.921171007337795,0.14870295468542,0.851297045314581
2,2028,2028Q3,11.2266072229222,1.99926341403354,0.151163085509638,0.848836914490362
2,2028,2028Q4,4.51669567007945,1.23036225060734,0.214085583891298,0.785914416108702
3,2017,2017Q1,7.06263278255524,8.98975303140125,0.560025975925974,0.439974024074026
3,2017,2017Q2,11.4455863527252,12.5027819031356,0.522072392137857,0.477927607862143
3,2017,2017Q3,23.1667932421889,27.1442733028299,0.539528878373926,0.460471121626074
3,2017,2017Q4,10.3520827408407,11.0496934430345,0.516297962753191,0.483702037246809
3,2018,2018Q1,8.90175660547347,8.49908884311032,0.488429649480166,0.511570350519834
3,2018,2018Q2,14.1453383872085,10.7738958624532,0.432352605802864,0.567647394197136
3,2018,2018Q3,40.4951072913363,34.472303479943,0.459830520025772,0.540169479974228
3,2018,2018Q4,9.13264477717936,6.70754414964188,0.423451019468865,0.576548980531135
3,2019,2019Q1,12.5265944564319,9.88838486384385,0.441150746674978,0.558849253325022
3,2019,2019Q2,31.7613042408212,49.9350343744947,0.611227323290755,0.388772676709245
3,2019,2019Q3,28.6649879386547,23.9040200246408,0.454716970145812,0.545283029854188
3,2019,2019Q4,8.28375173582634,5.31539048551942,0.390862188144203,0.609137811855797
3,2020,2020Q1,12.3386996535724,11.8320584517342,0.489519542588797,0.510480457411203
3,2020,2020Q2,13.4274477433106,11.1486563590892,0.453638066987214,0.546361933012786
3,2020,2020Q3,19.9906133683964,14.0566996050386,0.412857825697029,0.587142174302971
3,2020,2020Q4,14.7710332666789,9.98828383199563,0.403415158511393,0.596584841488607
3,2021,2021Q1,9.40137978176542,2.98042904485979,0.240710310310302,0.759289689689698
3,2021,2021Q2,4.01678916137318,2.32764629428764,0.366879970732589,0.633120029267411
3,2021,2021Q3,6.42456232281532,6.92411082414747,0.518711541433083,0.481288458566917
3,2021,2021Q4,2.36788049381927,1.28441926163678,0.351674108818158,0.648325891181842
3,2022,2022Q1,1.6708614260603,0.947254277558549,0.36180764518895,0.63819235481105
3,2022,2022Q2,3.30737129740852,2.75603914650523,0.454536134737778,0.545463865262222
3,2022,2022Q3,4.60837089364404,0.835758216735078,0.153515502624969,0.846484497375031
3,2022,2022Q4,1.71642462182605,0.34446964854961,0.167145716061805,0.832854283938195
3,2023,2023Q1,1.80363426489935,0.269380468409107,0.129946239204574,0.870053760795426
3,2023,2023Q2,2.39190126258182,0.770651923440897,0.243680304523221,0.756319695476779
3,2023,2023Q3,4.63923039302815,0.804633179052299,0.147805537078292,0.852194462921708
3,2023,2023Q4,1.72120848275531,0.354369694404465,0.170733002641888,0.829266997358113
3,2024,2024Q1,1.80010403318549,0.269456083528067,0.130199688983165,0.869800311016835
3,2024,2024Q2,2.4130713529126,0.780034326891466,0.244287037483623,0.755712962516377
3,2024,2024Q3,4.63249753112835,0.812055971770289,0.149150150023864,0.850849849976136
3,2024,2024Q4,1.71342478165746,0.333315710393787,0.162851964715731,0.837148035284269
3,2025,2025Q1,1.79910827141695,0.266223217081485,0.128900962660981,0.871099037339019
3,2025,2025Q2,2.40767031795817,0.78636655456779,0.246198333316642,0.753801666683358
3,2025,2025Q3,4.63282159563277,0.808287913886466,0.148552039335427,0.851447960664574
3,2025,2025Q4,1.71469319085178,0.336291368117389,0.163965821510821,0.836034178489179
3,2026,2026Q1,1.80122780914457,0.266434782219891,0.128857959384984,0.871142040615016
3,2026,2026Q2,2.40049418035122,0.782462507345942,0.245828826502834,0.754171173497166
3,2026,2026Q3,4.63572618511438,0.804947965530924,0.147950041344683,0.852049958655316
3,2026,2026Q4,1.71748720796833,0.342285278724003,0.166176255356076,0.833823744643924
3,2027,2027Q1,1.8021186007455,0.266932339942285,0.12901197099263,0.870988029007371
3,2027,2027Q2,2.39279569632048,0.775668580115856,0.244809002861245,0.755190997138755
3,2027,2027Q3,4.64044947385342,0.798716578219647,0.14684541169969,0.85315458830031
3,2027,2027Q4,1.71852581287809,0.345476756496442,0.167381941099586,0.832618058900414
3,2028,2028Q1,1.80006478195813,0.269122757506784,0.130062042407417,0.869937957592583
3,2028,2028Q2,2.41327332082119,0.780887774609129,0.244473510032508,0.755526489967493
3,2028,2028Q3,4.6283276854879,0.821537411932422,0.150744540873369,0.849255459126631
3,2028,2028Q4,1.71520461411499,0.342813046089834,0.166574394728816,0.833425605271184
4,2019,2019Q1,35.6783041651586,,,
4,2019,2019Q2,1.55387031463284,0.940255081416579,0.376987894396128,0.623012105603872
4,2019,2019Q3,2.94873980042148,0.546055584873185,0.156248227627536,0.843751772372464
4,2019,2019Q4,5.36461675762173,0.880137639280725,0.140940312995703,0.859059687004297
4,2020,2020Q1,9.22987845564856,1.39941246752364,0.13165623912625,0.86834376087375
4,2020,2020Q2,15.4032840065297,2.24391328270317,0.127154088319297,0.872845911680703
4,2020,2020Q3,25.3758618798512,3.64741345676896,0.125672013736052,0.874327986263948
4,2020,2020Q4,16.9019724407267,12.338226714688,0.421961103927816,0.578038896072184
4,2021,2021Q1,5.59720769784053,1.30292825699956,0.188826461612778,0.811173538387222
4,2021,2021Q2,10.7794255515063,12.1760581281998,0.530420456309708,0.469579543690292
