Zona,Year,horas_teo,horas_obs,coverage,WPD_mean,WPD_p50,WPD_p90,E_free,E_usable,FNRR,coh,E_free_lo,E_free_hi,E_usable_lo,E_usable_hi
3,2025,8760,0,1,3.55687489576406,3.60517358538823,3.48442686132781,10.1085494580277,9.41779405784267,0.0535716259456094,0.946428374054391,2.24805897923673,107.840093354511,2.12762680449739,102.062924211383
3,2026,8760,0,1,3.27693139321848,3.60517358538823,2.78456810496385,6.57349575569114,6.27375688141524,0.0345409989042245,0.965459001095775,1.46322246248289,129.907128646602,1.41268129700963,125.420006658369
3,2027,8760,0,1,3.04067706603514,3.60517358538823,2.19393228700552,3.79000414846669,3.72866468637818,0.0114740426752636,0.988525957324737,0.674749442052954,134.354604676612,0.667007338159729,132.813014208935
3,2028,8784,0,1,2.84070218775239,3.60517358538823,1.69399509129862,1.78595338284688,1.78595338284688,0,1,0,134.354604676612,0,134.354604676612
4,2017,8760,0,0,6.60659621326826,3.60517358538823,18.2841885871078,57.8737828282299,32.0345341928876,0.40451776399114,0.59548223600886,,,,
4,2018,8760,0,0,6.60659621326826,3.60517358538823,18.2841885871078,57.8737828282299,32.0345341928876,0.40451776399114,0.59548223600886,,,,
4,2019,8760,35,0.00399543378995434,6.6331068039072,3.60517358538823,18.2999655699229,58.1060156022271,32.1243147568656,0.405381519135266,0.594618480864734,,,,
4,2020,8784,218,0.0248178506375228,7.15213098454901,3.60517358538823,15.5470560015773,62.8243185682785,36.8383016895493,0.378722347976204,0.621277652023796,,,,
4,2021,8760,2767,0.315867579908676,8.7830138228882,3.60517358538823,22.5212536324419,76.9392010885007,38.1112889323512,0.476600397489455,0.523399602510545,,,,
4,2022,8760,1338,0.656849315068493,9.23380915719812,3.60517358538823,21.3244128674272,72.510254810343,36.2809131144423,0.467718249377771,0.532281750622229,,,,
4,2023,8760,0,1,10.3891461182987,3.60517358538823,20.5651049176645,72.510254810343,36.7616466691439,0.458469918915223,0.541530081084777,60.6332961627798,81.4508677807227,32.8347537874674,44.1080950337202
4,2024,8784,0,1,10.3894089106902,3.60517358538823,20.5657618986431,72.510254810343,36.7616466691439,0.458595712871615,0.541404287128385,57.7880917995207,85.3644114596018,31.2867206452292,46.2166583324199
4,2025,8760,0,1,10.3891461182987,3.60517358538823,20.5651049176645,72.510254810343,36.7616466691439,0.458469918915223,0.541530081084777,55.8324561723386,87.7028472075643,30.2349545181688,47.4937299596781
4,2026,8760,0,1,10.3891461182987,3.60517358538823,20.5651049176645,72.510254810343,36.7616466691439,0.458469918915223,0.541530081084777,53.7134440716614,89.0623740174888,29.0874457234694,48.2299546232935
4,2027,8760,0,1,10.3891461182987,3.60517358538823,20.5651049176645,72.510254810343,36.7616466691439,0.458469918915223,0.541530081084777,53.0621652829542,92.1134374802711,28.734758668212,49.8821972676887
4,2028,8784,0,1,10.3894089106902,3.60517358538823,20.5657618986431,72.510254810343,36.7616466691439,0.458595712871615,0.541404287128385,52.1431350355305,93.3844839834611,28.2305168525505,50.5587599799178
